Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
The Man Who Knew Too Little ,Jon Amiel,94,Bill Murray,Peter Gallagher,Joanne Whalley,13801755,20000000,1997
What's Your Number? ,Mark Mylod,117,Chris Evans,Ari Graynor,Ed Begley Jr.,13987482,20000000,2011
Lockout ,James Mather,95,Joseph Gilgun,Vincent Regan,Jacky Ido,14291570,20000000,2012
Envy ,Barry Levinson,99,Amy Poehler,Ariel Gade,Sam Lerner,12181484,40000000,2004
Crank: High Voltage ,Mark Neveldine,96,Jason Statham,Clifton Collins Jr.,David Carradine,13630226,20000000,2009
Bullets Over Broadway ,Woody Allen,98,Jim Broadbent,Chazz Palminteri,Dianne Wiest,13383737,20000000,1994
One Night with the King ,Michael O. Sajbel,123,James Callis,Tiffany Dupont,Nimrat Kaur,13391174,20000000,2006
The Quiet American ,Phillip Noyce,101,Brendan Fraser,Tzi Ma,Holmes Osborne,12987647,30000000,2002
The Weather Man ,Gore Verbinski,102,Nicolas Cage,Hope Davis,Michael Rispoli,12469811,22000000,2005
Undisputed ,Walter Hill,94,Fisher Stevens,Wes Studi,Jon Seda,12398628,20000000,2002
Ghost Town ,David Koepp,102,Aasif Mandvi,Dequina Moore,Jordan Carlos,13214030,20000000,2008
12 Rounds ,Renny Harlin,108,Taylor Cole,Ashley Scott,Nick Gomez,12232937,22000000,2009
Let Me In ,Matt Reeves,116,Chloë Grace Moretz,Dylan Minnette,Kodi Smit-McPhee,12134420,20000000,2010
3 Ninjas Kick Back ,Charles T. Kanganis,93,Victor Wong,Dustin Nguyen,Don Stark,11784000,20000000,1994
Be Kind Rewind ,Michel Gondry,102,Quinton Aaron,Mia Farrow,Melonie Diaz,11169531,20000000,2008
Mrs Henderson Presents ,Stephen Frears,103,Bob Hoskins,Christopher Guest,Sarah Solemani,11034436,20000000,2005
Triple 9 ,John Hillcoat,115,Kate Winslet,Norman Reedus,Clifton Collins Jr.,12626905,20000000,2016
Deconstructing Harry ,Woody Allen,96,Woody Allen,Lynn Cohen,Judy Davis,10569071,20000000,1997
Three to Tango ,Damon Santostefano,98,Matthew Perry,Oliver Platt,David Ramsey,10544143,20000000,1999
Burnt ,John Wells,101,Bradley Cooper,Omar Sy,Riccardo Scamarcio,13650738,20000000,2015
We're No Angels ,Neil Jordan,106,Robert De Niro,Demi Moore,James Russo,10555348,20000000,1989
Everyone Says I Love You ,Woody Allen,101,Natasha Lyonne,Gaby Hoffmann,Jeff DeRocker,9714482,20000000,1996
Death at a Funeral ,Frank Oz,87,Peter Dinklage,Ewen Bremner,Kris Marshall,8579684,9000000,2007
Death Sentence ,James Wan,111,Aisha Tyler,Kelly Preston,Edi Gathegi,9525276,20000000,2007
Everybody's Fine ,Kirk Jones,99,Robert De Niro,James Frain,Brendan Sexton III,8855646,21000000,2009
Superbabies: Baby Geniuses 2 ,Bob Clark,88,Scott Baio,Vanessa Angel,Peter Wingfield,9109322,20000000,2004
The Man ,Les Mayfield,83,Miguel Ferrer,Susie Essman,Gigi Rice,8326035,33000000,2005
Code Name: The Cleaner ,Les Mayfield,91,Callum Rennie,Will Patton,Cedric the Entertainer,8104069,20000000,2007
Connie and Carla ,Michael Lembeck,108,Debbie Reynolds,Nia Vardalos,Dash Mihok,8054280,20000000,2004
Sweet Charity ,Bob Fosse,154,Sammy Davis Jr.,Ricardo Montalban,Ben Vereen,,20000000,1969
Inherent Vice ,Paul Thomas Anderson,148,Martin Dew,Katherine Waterston,Serena Scott Thomas,8093318,20000000,2014
Doogal ,Dave Borthwick,77,Jimmy Fallon,Kylie Minogue,Jon Stewart,7382993,20000000,2006
Battle of the Year ,Benson Lee,110,Chris Brown,Caity Lotz,Laz Alonso,8888355,20000000,2013
Perception             ,,42,LeVar Burton,Eric McCormack,Scott Wolf,,,
An American Carol ,David Zucker,83,Chriss Anglin,Geoffrey Arend,Gary Coleman,7001720,12000000,2008
Machete Kills ,Robert Rodriguez,107,Alexa PenaVega,Demián Bichir,Marko Zaror,7268659,20000000,2013
Willard ,Glen Morgan,100,Laura Harring,Ty Olsson,Jackie Burroughs,6852144,22000000,2003
Strange Wilderness ,Fred Wolf,87,Kevin Alejandro,Ashley Scott,Jeff Garlin,6563357,20000000,2008
Topsy-Turvy ,Mike Leigh,154,Jim Broadbent,Dexter Fletcher,Lesley Manville,6201757,10000000,1999
Little Boy ,Alejandro Monteverde,106,Tom Wilkinson,Cary-Hiroyuki Tagawa,Michael Rapaport,6420319,20000000,2015
A Dangerous Method ,David Cronenberg,99,Michael Fassbender,Viggo Mortensen,Sarah Gadon,5702083,15000000,2011
A Scanner Darkly ,Richard Linklater,100,Robert Downey Jr.,Keanu Reeves,Rory Cochrane,5480996,8700000,2006
Chasing Mavericks ,Michael Apted,116,Gerard Butler,Abigail Spencer,Leven Rambin,6002756,20000000,2012
Alone in the Dark ,Uwe Boll,94,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,5132655,20000000,2005
Bandslam ,Todd Graff,111,Scott Porter,Charlie Saxton,Ryan Donowho,5205343,20000000,2009
Birth ,Jonathan Glazer,100,Cameron Bright,Anne Heche,Danny Huston,5005883,20000000,2004
A Most Violent Year ,J.C. Chandor,125,David Oyelowo,Ashley Williams,Albert Brooks,5749134,20000000,2014
Passchendaele ,Paul Gross,114,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,,20000000,2008
Flash of Genius ,Marc Abraham,119,Dylan Authors,Bill Lake,Victoria Learn,4234040,20000000,2008
I'm Not There. ,Todd Haynes,135,Christian Bale,Heath Ledger,Tyrone Benskin,4001121,20000000,2007
The Cold Light of Day ,Mabrouk El Mechri,93,Henry Cavill,Bruce Willis,Óscar Jaenada,3749061,20000000,2012
The Brothers Bloom ,Rian Johnson,114,Zachary Gordon,Maximilian Schell,Nora Zehetner,3519627,20000000,2008
"Synecdoche, New York ",Charlie Kaufman,124,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,3081925,21000000,2008
Princess Mononoke ,Hayao Miyazaki,134,Minnie Driver,Jada Pinkett Smith,Billy Crudup,2298191,2400000000,1997
Bon voyage ,Jean-Paul Rappeneau,114,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,2353728,20000000,2003
Can't Stop the Music ,Nancy Walker,124,Steve Guttenberg,Randy Jones,Caitlyn Jenner,2000000,20000000,1980
The Proposition ,John Hillcoat,104,Ray Winstone,Noah Taylor,Danny Huston,1900725,2000000,2005
Courage ,Angelo Pizzo,118,Donny Boaz,Finn Wittrock,Brent Anderson,2246000,20000000,2015
Marci X ,Richard Benjamin,80,Damon Wayans,Jane Krakowski,Paula Garcés,1646664,20000000,2003
Equilibrium ,Kurt Wimmer,107,Christian Bale,Emily Watson,Sean Pertwee,1190018,20000000,2002
The Children of Huang Shi ,Roger Spottiswoode,125,Radha Mitchell,Guang Li,Matthew Walker,1027749,40000000,2008
The Yards ,James Gray,115,Charlize Theron,Ellen Burstyn,Faye Dunaway,882710,24000000,2000
The Oogieloves in the Big Balloon Adventure ,Matthew Diamond,88,Chazz Palminteri,Garrett Clayton,Toni Braxton,1064277,20000000,2012
By the Sea ,Angelina Jolie Pitt,122,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,531009,10000000,2015
Steamboy ,Katsuhiro Ôtomo,103,William Hootkins,Robin Atkin Downes,Rosalind Ayres,410388,2127519898,2004
The Game of Their Lives ,David Anspaugh,101,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,375474,20000000,2005
All Good Things ,Andrew Jarecki,101,Ryan Gosling,Kirsten Dunst,Frank Langella,578382,,2010
Rapa Nui ,Kevin Reynolds,107,Esai Morales,Jason Scott Lee,Sandrine Holt,305070,20000000,1994
CJ7 ,Stephen Chow,86,Jiao Xu,Yuqi Zhang,Chi Chung Lam,206678,,2008
Les couloirs du temps: Les visiteurs II ,Jean-Marie Poiré,118,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,146072,140000000,1998
Dylan Dog: Dead of Night ,Kevin Munroe,107,Marco St. John,Laura Spencer,Anita Briem,1183354,20000000,2010
People I Know ,Daniel Algrant,100,Al Pacino,Richard Schiff,Mark Webber,121972,22000000,2002
The Doombolt Chase             ,,30,Peter Vaughan,George Coulouris,Ewen Solon,,,
The Tempest ,Julie Taymor,110,Djimon Hounsou,Reeve Carney,Tom Conti,263365,20000000,2010
Regression ,Alejandro Amenábar,106,Emma Watson,Aaron Ashmore,Julian Richings,54734,,2015
The Touch ,Jane Clark,7,Necar Zadegan,Traci Dinwiddie,Elea Oberon,,13000,2007
Three Kingdoms: Resurrection of the Dragon ,Daniel Lee,102,Andy Lau,Sammo Kam-Bo Hung,Andy On,,25000000,2008
Shattered ,Mike Barker,98,Gerard Butler,Nicholas Lea,Callum Rennie,,20000000,2007
Zambezia ,Wayne Thornley,83,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,,20000000,2012
Ramanujan ,Gnana Rajasekaran,153,Mani Bharathi,Michael Lieber,Kevin McGowan,,,2014
Dwegons and Leprechauns ,Tom Walsh,98,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,,20000000,2014
Hands of Stone ,Jonathan Jakubowicz,105,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,,20000000,2016
Survivor ,James McTeigue,96,Milla Jovovich,Roger Rees,Robert Forster,,20000000,2015
The Frozen Ground ,Scott Walker,105,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,,27220000,2013
The Painted Veil ,John Curran,125,Toby Jones,Sally Hawkins,Alan David,8047690,19400000,2006
The Baader Meinhof Complex ,Uli Edel,184,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,476270,20000000,2008
Dances with Wolves ,Kevin Costner,236,Mary McDonnell,Michael Spears,Maury Chaykin,184208848,22000000,1990
Bad Teacher ,Jake Kasdan,97,Justin Timberlake,John Michael Higgins,Phyllis Smith,100292856,20000000,2011
Sea of Love ,Harold Becker,113,Al Pacino,Michael O'Neill,Ellen Barkin,58571513,19000000,1989
A Cinderella Story ,Mark Rosman,95,Dan Byrd,Lin Shaye,Julie Gonzalo,51431160,20000000,2004
Scream ,Wes Craven,103,David Arquette,W. Earl Brown,Roger Jackson,103001286,15000000,1996
Thir13en Ghosts ,Steve Beck,91,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,41867960,20000000,2001
The Shining ,Stanley Kubrick,146,Scatman Crothers,Shelley Duvall,Joe Turkel,,19000000,1980
Back to the Future ,Robert Zemeckis,116,Lea Thompson,Thomas F. Wilson,J.J. Cohen,210609762,19000000,1985
House on Haunted Hill ,William Malone,93,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,40846082,19000000,1999
I Can Do Bad All by Myself ,Tyler Perry,113,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,51697449,13000000,2009
Fight Valley ,Rob Hawk,90,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,,27000000,2016
The Switch ,Josh Gordon,101,Caroline Dhavernas,Scott Elrod,Kelli Barrett,27758465,19000000,2010
Just Married ,Shawn Levy,95,Taran Killam,David Agranov,David Moscow,56127162,18000000,2003
The Devil's Double ,Lee Tamahori,109,Mem Ferda,Dominic Cooper,Ludivine Sagnier,1357042,15000000,2011
"Gone, Baby, Gone             ",,43,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,,,
Thomas and the Magic Railroad ,Britt Allcroft,85,Mara Wilson,Colm Feore,Peter Fonda,15911333,19000000,2000
The Crazies ,Breck Eisner,101,Radha Mitchell,Glenn Morshower,John Aylward,39103378,20000000,2010
Spirited Away ,Hayao Miyazaki,125,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,10049886,19000000,2001
Firestorm ,Alan Yuen,118,Andy Lau,Michael Wong,Terence Yin,,,2013
The Bounty ,Roger Donaldson,132,Liam Neeson,Anthony Hopkins,Laurence Olivier,8600000,25000000,1984
The Book Thief ,Brian Percival,131,Emily Watson,Sophie Nélisse,Roger Allam,21483154,19000000,2013
Sex Drive ,Sean Anders,129,Katrina Bowden,Michael Cudlitz,Alice Greczyn,8396942,19000000,2008
Leap Year ,Anand Tucker,100,Adam Scott,Kaitlin Olson,Dominique McElligott,12561,19000000,2010
The Fall of the Roman Empire ,Anthony Mann,172,James Mason,Mel Ferrer,Stephen Boyd,,19000000,1964
Take Me Home Tonight ,Michael Dowse,97,Topher Grace,Michael Biehn,Dan Fogler,6923891,23000000,2011
Won't Back Down ,Daniel Barnz,121,Holly Hunter,Rosie Perez,Dante Brown,5308553,,2012
The Nutcracker ,Emile Ardolino,92,Darci Kistler,Kyra Nichols,Margaret Tracey,2119994,19000000,1993
Kansas City ,Robert Altman,116,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,1292527,19000000,1996
Indignation ,James Schamus,110,Logan Lerman,Sarah Gadon,Tracy Letts,560512,,2016
The Amityville Horror ,Andrew Douglas,90,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,64255243,19000000,2005
Adaptation. ,Spike Jonze,81,Nicolas Cage,Meryl Streep,Roger Willie,22245861,19000000,2002
Land of the Dead ,George A. Romero,97,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,20433940,15000000,2005
Out of Inferno ,Danny Pang,107,Louis Koo,Angelica Lee,Ching Wan Lau,,,2013
Fear and Loathing in Las Vegas ,Terry Gilliam,118,Johnny Depp,Michael Jeter,Ellen Barkin,10562387,18500000,1998
The Invention of Lying ,Ricky Gervais,100,Jennifer Garner,Tina Fey,Martin Starr,18439082,18500000,2009
Neighbors ,Nicholas Stoller,97,Craig Roberts,Carla Gallo,Ike Barinholtz,150056505,18000000,2014
The Mask ,Chuck Russell,114,Peter Greene,Amy Yasbeck,Reg E. Cathey,119938730,18000000,1994
Big ,Penny Marshall,130,Tom Hanks,Jon Lovitz,John Heard,114968774,18000000,1988
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Larry Charles,82,Luenell,Ken Davitian,Chester,128505958,18000000,2006
Legally Blonde ,Robert Luketic,96,Linda Cardellini,Raquel Welch,Alanna Ubach,95001351,18000000,2001
Star Trek III: The Search for Spock ,Leonard Nimoy,105,Leonard Nimoy,Nichelle Nichols,Walter Koenig,76400000,17000000,1984
The Exorcism of Emily Rose ,Scott Derrickson,122,Tom Wilkinson,Colm Feore,JR Bourne,75072454,20000000,2005
Deuce Bigalow: Male Gigolo ,Mike Mitchell,88,Amy Poehler,Eddie Griffin,Bree Turner,65535067,17000000,1999
Left Behind ,Vic Armstrong,110,Nicolas Cage,Lea Thompson,Quinton Aaron,13998282,16000000,2014
The Family Stone ,Thomas Bezucha,103,Craig T. Nelson,Paul Schneider,Tyrone Giordano,6061759,17000000,2005
Barbershop 2: Back in Business ,Kevin Rodney Sullivan,106,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,64955956,18000000,2004
Bad Santa ,Terry Zwigoff,98,Bernie Mac,Tony Cox,Alex Borstein,60057639,18000000,2003
Austin Powers: International Man of Mystery ,Jay Roach,68,Will Ferrell,Charles Napier,Robert Wagner,53868030,17000000,1997
My Big Fat Greek Wedding 2 ,Kirk Jones,94,Nia Vardalos,Louis Mandylor,Joey Fatone,59573085,18000000,2016
Diary of a Wimpy Kid: Rodrick Rules ,David Bowers,99,Zachary Gordon,Rachael Harris,Fran Kranz,52691009,21000000,2011
Predator ,John McTiernan,107,Shane Black,Bill Duke,Carl Weathers,59735548,15000000,1987
Amadeus ,Milos Forman,180,Jeffrey Jones,F. Murray Abraham,Tom Hulce,51600000,18000000,1984
Prom Night ,Nelson McCormick,89,Ming-Na Wen,Scott Porter,Collins Pennie,43818159,20000000,2008
Mean Girls ,Mark Waters,97,Tina Fey,Amy Poehler,Neil Flynn,86049418,17000000,2004
Under the Tuscan Sun ,Audrey Wells,113,Raoul Bova,Lindsay Duncan,Mario Monicelli,43601508,18000000,2003
Gosford Park ,Robert Altman,131,Kristin Scott Thomas,Bob Balaban,Tom Hollander,41300105,19800000,2001
The O.C.             ,,44,Peter Gallagher,Melinda Clarke,Tate Donovan,,,
Peggy Sue Got Married ,Francis Ford Coppola,103,Nicolas Cage,Kathleen Turner,Joan Allen,41382841,18000000,1986
Birdman or (The Unexpected Virtue of Ignorance) ,Alejandro G. Iñárritu,119,Emma Stone,Naomi Watts,Merritt Wever,42335698,18000000,2014
Blue Jasmine ,Woody Allen,98,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,33404871,18000000,2013
United 93 ,Paul Greengrass,111,Christian Clemenson,David Alan Basche,Susan Blommaert,31471430,15000000,2006
Honey ,Bille Woodruff,94,Christian Monzon,Mekhi Phifer,Romeo Miller,30222640,25000000,2003
Glory ,Edward Zwick,122,Denzel Washington,Morgan Freeman,Matthew Broderick,26830000,18000000,1989
Spy Hard ,Rick Friedberg,81,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,26906039,18000000,1996
The Fog ,John Carpenter,89,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,21378000,1000000,1980
Soul Surfer ,Sean McNamara,106,Dennis Quaid,Chris Brochu,Craig T. Nelson,43853424,18000000,2011
Catch-22 ,Mike Nichols,122,Bob Newhart,Bob Balaban,Martin Balsam,,18000000,1970
Observe and Report ,Jody Hill,86,Collette Wolfe,Celia Weston,Dan Bakkedahl,23993605,18000000,2009
Conan the Destroyer ,Richard Fleischer,103,Mako,Olivia d'Abo,Grace Jones,26400000,18000000,1984
Raging Bull ,Martin Scorsese,121,Robert De Niro,Cathy Moriarty,Frank Vincent,45250,18000000,1980
Love Happens ,Brandon Camp,109,Judy Greer,Sasha Alexander,Frances Conroy,22927390,18000000,2009
Young Sherlock Holmes ,Barry Levinson,109,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,4250320,18000000,1985
Fame ,Kevin Tancharoen,123,Kelsey Grammer,Kay Panabaker,Megan Mullally,22452209,18000000,2009
127 Hours ,Danny Boyle,94,James Franco,Treat Williams,Kate Burton,18329466,18000000,2010
Small Time Crooks ,Woody Allen,94,Woody Allen,Jon Lovitz,Michael Rapaport,17071230,18000000,2000
Center Stage ,Nicholas Hytner,115,Amanda Schull,Susan May Pratt,Ethan Stiefel,17174870,18000000,2000
Love the Coopers ,Jessie Nelson,107,Olivia Wilde,Alex Borstein,Timothée Chalamet,26284475,17000000,2015
Catch That Kid ,Bart Freundlich,91,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,16702864,18000000,2004
Life as a House ,Irwin Winkler,125,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,15561627,18000000,2001
Steve Jobs ,Danny Boyle,122,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,17750583,30000000,2015
"I Love You, Beth Cooper ",Chris Columbus,102,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,14793904,18000000,2009
Youth in Revolt ,Miguel Arteta,90,Steve Buscemi,Ari Graynor,Fred Willard,15281286,18000000,2009
The Legend of the Lone Ranger ,William A. Fraker,98,Jason Robards,Richard Farnsworth,Michael Horse,8000000,18000000,1981
The Tailor of Panama ,John Boorman,109,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,13491653,18000000,2001
Blow Out ,Brian De Palma,107,Nancy Allen,Dennis Franz,John McMartin,,18000000,1981
Getaway ,Courtney Solomon,90,Rebecca Budig,Paul Freeman,Bruce Payne,10494494,18000000,2013
The Ice Storm ,Ang Lee,112,Joan Allen,Kate Burton,Henry Czerny,7837632,18000000,1997
And So It Goes ,Rob Reiner,94,Yaya DaCosta,Annie Parisse,Frankie Valli,15155772,18000000,2014
Troop Beverly Hills ,Jeff Kanew,105,Craig T. Nelson,Shelley Long,Kellie Martin,8508843,18000000,1989
Being Julia ,István Szabó,104,Miriam Margolyes,Shaun Evans,Juliet Stevenson,7739049,18000000,2004
9½ Weeks ,Adrian Lyne,112,David Margulies,Karen Young,Kim Chan,6734844,17000000,1986
Dragonslayer ,Matthew Robbins,108,Ian McDiarmid,Ralph Richardson,Albert Salmi,6000000,18000000,1981
The Last Station ,Michael Hoffman,112,David Masterson,Kerry Condon,Anne-Marie Duff,6615578,13000000,2009
Ed Wood ,Tim Burton,127,Johnny Depp,Bill Murray,Martin Landau,5887457,18000000,1994
Labor Day ,Jason Reitman,111,J.K. Simmons,Kate Winslet,Brooke Smith,13362308,18000000,2013
Mongol: The Rise of Genghis Khan ,Sergey Bodrov,126,Tadanobu Asano,Khulan Chuluun,Honglei Sun,5701643,20000000,2007
RocknRolla ,Guy Ritchie,114,Tom Hardy,Gerard Butler,Tom Wilkinson,5694401,18000000,2008
Megaforce ,Hal Needham,99,Barry Bostwick,Michael Beck,Henry Silva,5333658,20000000,1982
Hamlet ,Kenneth Branagh,150,Julie Christie,Brian Blessed,Richard Briers,4414535,18000000,1996
Mao's Last Dancer ,Bruce Beresford,117,Bruce Greenwood,Suzie Steen,Aden Young,4806750,,2009
Midnight Special ,Jeff Nichols,112,Kirsten Dunst,Sam Shepard,Paul Sparks,3707794,18000000,2016
Anything Else ,Woody Allen,108,Woody Allen,Stockard Channing,Fisher Stevens,3203044,18000000,2003
The Railway Man ,Jonathan Teplitzky,116,Jeremy Irvine,Colin Firth,Sam Reid,4435083,18000000,2013
Unforgettable             ,,60,Poppy Montgomery,Dylan Walsh,Dallas Roberts,,,
The White Ribbon ,Michael Haneke,144,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,2222647,12000000,2009
Restoration ,Zack Ward,92,Zack Ward,Anna Harr,James Cullen Bressack,,,2016
The Wraith ,Mike Marvin,93,Clint Howard,Randy Quaid,Nick Cassavetes,3500000,2700000,1986
The Salton Sea ,D.J. Caruso,103,Adam Goldberg,Meat Loaf,Anthony LaPaglia,676698,18000000,2002
Metallica Through the Never ,Nimród Antal,93,James Hetfield,Mackenzie Gray,Lars Ulrich,3419967,,2013
The Informers ,Gregor Jordan,98,Austin Nichols,Brad Renfro,Lou Taylor Pucci,,18000000,2008
Carlos             ,,334,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,145118,,
I Come with the Rain ,Tran Anh Hung,114,Takuya Kimura,Simón Andreu,Shawn Yue,,18000000,2009
One Man's Hero ,Lance Hool,121,Tom Berenger,Joaquim de Almeida,Mark Moses,229311,11350000,1999
Day of the Dead ,George A. Romero,87,Greg Nicotero,John Amplas,Joseph Pilato,,3500000,1985
I Am Wrath ,Chuck Russell,92,Sam Trammell,Rebecca De Mornay,Amanda Schull,,18000000,2016
Renaissance ,Christian Volckman,105,Romola Garai,Catherine McCormack,Kevork Malikyan,63260,14000000,2006
Forsaken ,Jon Cassar,90,Demi Moore,Landon Liboiron,Michael Wincott,,11000000,2015
Red Sonja ,Richard Fleischer,89,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,,17900000,1985
Red Lights ,Rodrigo Cortés,114,Robert De Niro,Toby Jones,Craig Roberts,,14000000,2012
Superbad ,Greg Mottola,119,Emma Stone,Joe Lo Truglio,Kevin Corrigan,121463226,20000000,2007
Madea Goes to Jail ,Tyler Perry,103,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,90485233,,2009
Wolves ,David Hayter,91,Jason Momoa,Jennifer Hale,Stephen McHattie,,18000000,2014
Step Up 2: The Streets ,Jon M. Chu,98,Cassie Ventura,Mari Koda,Luis Rosado,58006147,23000000,2008
Hoodwinked! ,Cory Edwards,80,Anne Hathaway,Chazz Palminteri,Jim Belushi,51053787,17500000,2005
Hotel Rwanda ,Terry George,121,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,23472900,17500000,2004
Hitman ,Xavier Gens,94,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,39687528,24000000,2007
Black Nativity ,Kasi Lemmons,93,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,7017178,17500000,2013
The Prince ,Brian A Miller,93,Bruce Willis,50 Cent,Jessica Lowndes,,18000000,2014
City of Ghosts ,Matt Dillon,116,Kirk Fox,Shawn Andrews,Rob Campbell,325491,17500000,2002
The Others ,Alejandro Amenábar,101,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,96471845,17000000,2001
Aliens ,James Cameron,154,Michael Biehn,Carrie Henn,Jenette Goldstein,85200000,18500000,1986
My Fair Lady ,George Cukor,170,Jeremy Brett,Rex Harrison,Theodore Bikel,72000000,17000000,1964
I Know What You Did Last Summer ,Jim Gillespie,99,Muse Watson,Sarah Michelle Gellar,Anne Heche,72219395,17000000,1997
Let's Be Cops ,Luke Greenfield,104,Rob Riggle,Damon Wayans Jr.,James D'Arcy,82389560,17000000,2014
Sideways ,Alexander Payne,126,Virginia Madsen,Patrick Gallagher,M.C. Gainey,71502303,12000000,2004
Beerfest ,Jay Chandrasekhar,110,Chris Moss,Owain Yeoman,Jay Chandrasekhar,19179969,17500000,2006
Halloween ,John Carpenter,101,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,47000000,300000,1978
Hero ,Yimou Zhang,80,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,84961,31000000,2002
Good Boy! ,John Hoffman,87,Liam Aiken,Molly Shannon,Kevin Nealon,37566230,17000000,2003
The Best Man Holiday ,Malcolm D. Lee,123,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,70492685,17000000,2013
Smokin' Aces ,Joe Carnahan,109,Ryan Reynolds,Common,Alex Rocco,35635046,17000000,2006
Saw 3D: The Final Chapter ,Kevin Greutert,90,Costas Mandylor,Gina Holden,Betsy Russell,45670855,20000000,2010
40 Days and 40 Nights ,Michael Lehmann,96,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,37939782,17000000,2002
TRON: Legacy ,Joseph Kosinski,125,Jeff Bridges,Olivia Wilde,James Frain,172051787,170000000,2010
A Night at the Roxbury ,John Fortenberry,82,Will Ferrell,Chris Kattan,Dan Hedaya,30324946,17000000,1998
Beastly ,Daniel Barnz,86,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,27854896,17000000,2011
The Hills Have Eyes ,Alexandre Aja,108,Dan Byrd,Greg Nicotero,Vinessa Shaw,41777564,15000000,2006
Dickie Roberts: Former Child Star ,Sam Weisman,98,Kevin Grevioux,Jenna Boyd,Mary McCormack,22734486,17000000,2003
"McFarland, USA ",Niki Caro,129,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,44469602,17000000,2015
Lottery Ticket ,Erik White,99,Brandon T. Jackson,Loretta Devine,Shad Moss,24708699,,2010
ATL ,Chris Robinson,105,T.I.,Adam Boyer,Malika,21160089,,2006
Pitch Perfect ,Jason Moore,112,Anna Kendrick,Hana Mae Lee,Ben Platt,64998368,17000000,2012
Summer Catch ,Michael Tollin,108,Marc Blucas,Brian Dennehy,Bruce Davison,19693891,34000000,2001
A Simple Plan ,Sam Raimi,121,Gary Cole,Bridget Fonda,Chelcie Ross,16311763,17000000,1998
They ,Robert Harmon,89,Alexander Gould,Ethan Embry,Marc Blucas,12693621,17000000,2002
Larry the Cable Guy: Health Inspector ,Trent Cooper,89,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,15655665,4000000,2006
The Adventures of Elmo in Grouchland ,Gary Halvorson,73,Vanessa Williams,Kevin Clash,Caroll Spinney,11634458,17000000,1999
Brooklyn's Finest ,Antoine Fuqua,132,Don Cheadle,Lili Taylor,Armando Riesco,27154426,17000000,2009
55 Days at Peking ,Nicholas Ray,154,Ava Gardner,David Niven,John Ireland,,9000000,1963
Evil Dead ,Fede Alvarez,96,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,54239856,17000000,2013
My Life in Ruins ,Donald Petrie,98,Nia Vardalos,Harland Williams,Rachel Dratch,8662318,17000000,2009
American Dreamz ,Paul Weitz,107,Judy Greer,Dennis Quaid,Chris Klein,7156725,19000000,2006
